label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,PSB0042_WS_blank_0,PSB0042_WS_blank_1,PSB0042_WS_blank_2,PSB0042_WS_blank_3,PSB0042_WS_blank_4,PSB0042_WS_blank_5,PSB0042_WS_blank_6,PSB0042_WS_S01_HPLMax_R1,PSB0042_WS_S02_HPLMax_R2,PSB0042_WS_S03_HPLMax_R3,PSB0042_WS_S04_HPLMax_R4,PSB0042_WS_S05_HPLMax_R5,PSB0042_WS_S06_HPLMaxLowGlc_R1,PSB0042_WS_S07_HPLMaxLowGlc_R2,PSB0042_WS_S08_HPLMaxLowGlc_R3,PSB0042_WS_S09_HPLMaxLowGlc_R4,PSB0042_WS_S10_HPLMaxLowGlc_R5,PSB0042_WS_S11_KD_R1,PSB0042_WS_S12_KD_R2,PSB0042_WS_S13_KD_R3,PSB0042_WS_S14_KD_R4,PSB0042_WS_S15_KD_R5,PSB0042_WS_S16_KDHighGlc_R1,PSB0042_WS_S17_KDHighGlc_R2,PSB0042_WS_S18_KDHighGlc_R3,PSB0042_WS_S19_KDHighGlc_R4,PSB0042_WS_S20_KDHighGlc_R5
g,23,23,3,164.070908,5.778,0.773172,[M-H]-,,L-Phenylalanine (1),C00079,C9H11NO2,1.178,4.836038,164.070908,151326.84,23999.05,69877.38,62926.42,82090.49,12516.27,110699.51,18758916.00,14789905.00,7769139.50,10913673.00,21659532.00,20274976.00,14868145.00,17821070.00,14165294.00,17843426.00,22791310.00,22824394.00,18289496.00,17977260.00,19037214.00,20601638.00,19792104.00,7816006.50,18196886.00,19077996.00
,24,24,4,164.070908,6.443,0.593176,[M-H]-,,L-Phenylalanine (1),C00079,C9H11NO2,1.843,4.836038,164.070908,9293.85,0.00,13256.34,21529.91,19855.06,7671.91,25649.65,3383475.00,5236584.00,1368405.88,1832132.00,2569545.75,5081714.50,2172468.75,6454470.00,3276730.75,1589642.12,4315086.50,5914552.50,7011416.50,4438606.00,3518920.25,3594895.50,3537081.50,280775.53,3793428.75,6482868.50
,25,25,16,163.039185,1.992,0.847992,[M-H]-,,Phenylpyruvic acid (1),C00166,C9H8O3,-1.000,5.428174,163.039185,37628.37,13381.67,57467.20,35864.55,42068.16,37267.56,11573.39,1015663.31,593760.31,814867.38,1040910.88,444174.69,623633.06,547108.88,689284.06,821086.94,502913.50,851021.19,442111.84,791819.19,735032.75,549861.94,360326.28,532544.38,583213.56,631749.06,473857.31
,26,26,2,162.021454,4.954,0.819378,[M-H]-,,N-Acetyl-L-Cysteine (1),C06809,C5H9NO3S,-1.000,9.794373,162.021454,4927.98,721.82,0.00,0.00,6322.56,2426.62,0.00,0.00,9295.81,6678.42,2947.20,59823.02,0.00,36336.45,1220.26,50682.28,38780.85,0.00,51684.22,4747.33,47672.86,12274.73,38331.14,12192.67,40287.20,36372.30,19742.63
,27,27,17,160.060760,5.198,0.847594,[M-H]-,,N-Methyl-L-glutamate (pos.) (1),C01046,C6H11NO4,-1.000,4.861869,160.060760,57361.52,3835.17,0.00,0.00,4214.45,0.00,0.00,480073.41,279222.81,139006.00,275116.06,984416.56,426297.59,464614.59,457069.97,365324.28,759101.00,490244.31,450632.94,163468.36,639755.00,450734.56,407386.00,514494.12,160269.59,422504.06,574914.06
,28,28,20,160.060730,5.722,0.851540,[M-H]-,,N-Methyl-L-glutamate (pos.) (1),C01046,C6H11NO4,-1.000,5.052531,160.060730,52163.57,7402.36,0.00,5135.50,4607.40,8565.24,6030.10,3576679.75,1053630.75,358979.16,881968.12,1912629.12,3776716.50,2100929.75,2476401.00,1766203.12,1154773.12,2399784.25,2430596.50,2394783.50,1754050.38,1174406.50,1703535.25,1910871.25,622974.19,1460814.88,1069610.25
,29,29,19,160.060715,6.181,0.849227,[M-H]-,,N-Methyl-L-glutamate (pos.) (1),C01046,C6H11NO4,-1.000,5.147861,160.060715,294889.00,33116.77,13790.98,34271.37,43354.08,7310.47,16620.32,1640310.25,808307.25,300079.56,594010.56,1136239.75,1605874.25,751501.25,943236.75,698139.69,536644.38,1196460.75,939463.56,251179.91,974204.06,688223.50,846533.06,800286.44,397091.91,706649.81,643134.81
,30,30,9,155.106964,1.934,0.833917,[M-H]-,,4-Hydroxynonenal (1),C21642,C9H16O2,-1.000,5.115521,155.106964,96538.39,45261.20,21620.07,55964.41,72163.38,51049.73,13347.70,32467.12,9469.91,942424.50,541200.69,124669.07,0.00,240429.98,822477.69,621560.25,254366.70,24646.66,12241.55,109891.12,16605.88,270975.22,18217.48,12093.72,39551.70,325761.16,30547.39
,31,31,1,155.106827,6.026,0.719567,[M-H]-,,4-Hydroxynonenal (1),C21642,C9H16O2,-1.000,6.000900,155.106827,35597.71,0.00,8401.55,19461.35,5334.91,6729.60,0.00,47272.36,26431.14,131301.27,103538.64,13617.86,14125.44,20770.84,192405.28,33995.47,10823.96,0.00,10966.05,13233.25,0.00,14659.53,40569.62,0.00,7408.96,8400.21,36374.00
g,32,32,13,155.008881,4.874,0.803733,[M-H]-,,Orotic acid (1),C00295,C5H4N2O4,0.474,6.103129,155.008881,41551.45,8002.09,119215.94,72208.91,7671.33,32807.03,121411.38,461269952.00,396340576.00,193360832.00,291920064.00,310929216.00,586578688.00,589132352.00,507318336.00,494637408.00,583740096.00,438757600.00,522888352.00,448996352.00,536638784.00,466447744.00,572553984.00,524018656.00,393055968.00,555725184.00,559857216.00
,33,33,7,155.008911,6.165,0.614953,[M-H]-,,Orotic acid (1),C00295,C5H4N2O4,1.765,5.906254,155.008911,272544.31,255728.70,122710.40,80548.89,139097.42,106206.18,87918.16,8884778.00,6945397.00,2793900.00,6272194.00,8656291.00,10041539.00,9475349.00,9797097.00,8776927.00,8426406.00,8846365.00,6508691.50,6483624.00,5939557.00,8055397.00,7848495.00,7531187.50,4815817.00,5920828.50,8831106.00
,34,34,1,155.008926,6.683,0.578951,[M-H]-,,Orotic acid (1),C00295,C5H4N2O4,2.283,5.807816,155.008926,206346.94,132074.09,167533.39,82790.37,156390.42,93793.91,317861.50,2493450.00,1782432.75,2258180.75,2789448.25,3082512.25,3151327.25,1887880.00,1276181.38,3344021.25,3521011.25,2839221.00,2316872.25,4554891.50,3113298.75,3121770.75,2688093.75,2134611.50,1373232.25,2721374.75,3305783.25
g,35,35,1,154.061218,13.459,0.744960,[M-H]-,,L-Histidine (1),C00135,C6H9N3O2,4.459,6.338755,154.061218,5521897.50,2257566.75,16096475.00,15265673.00,9604475.00,11912913.00,13047396.00,94154808.00,72029568.00,20393792.00,39508972.00,101470432.00,96491144.00,67122616.00,88147976.00,47669868.00,70613176.00,106904336.00,111628304.00,75481480.00,83833568.00,80556312.00,99086208.00,94483448.00,41074092.00,81215488.00,75783864.00
,36,36,2,154.061218,17.817,0.586145,[M-H]-,,L-Histidine (1),C00135,C6H9N3O2,8.817,6.338755,154.061218,307151.00,305438.62,1440992.12,2854220.50,541094.12,1581314.00,2863093.50,2334325.25,3853284.00,1473622.88,1404917.62,10721112.00,8302418.00,2456971.50,6270481.00,502964.19,2150150.00,5410684.50,5137025.00,4975379.50,9382308.00,2740499.50,12982642.00,9604035.00,2391772.25,2609620.00,6322302.50
,37,37,17,152.001465,4.602,0.853652,[M-H]-,,3-Sulfinoalanine (1),C00606,C3H7NO4S,-1.000,5.521189,152.001465,499365.72,146018.14,49275.95,127254.88,185098.48,117294.08,37265.60,1376847.12,1939492.88,2691050.00,2387721.00,1852264.88,2013272.00,1588517.62,1427688.88,2594693.25,1986214.25,1582450.62,1387203.88,4551456.00,1900107.75,2225901.75,1141400.38,1327952.50,1632612.12,1858236.12,1072276.12
,38,38,11,152.001480,7.148,0.767059,[M-H]-,,3-Sulfinoalanine (1),C00606,C3H7NO4S,-1.000,5.420804,152.001480,536587.75,57610.68,503879.69,390575.12,284313.41,525777.81,269452.44,1576351.50,1493597.62,379642.19,565278.75,1851142.50,1547761.75,984520.44,1189110.75,936724.19,932081.06,1628907.38,1555792.12,397652.44,1929788.88,966512.00,1410631.50,1413172.62,1186103.75,1076053.62,1632050.25
g,39,39,19,151.025375,3.117,0.843683,[M-H]-,,Xanthine (1),C00385,C5H4N4O2,0.283,5.152738,151.025375,0.00,0.00,39489.51,4247.34,24150.32,3209.63,11153.29,1277466.25,2066621.38,1316354.50,1434878.25,3642730.25,2579326.75,2281014.75,2458704.25,2186047.50,3347319.00,8448150.00,3974397.75,3315474.50,2625825.50,3660565.25,3423373.50,3061876.50,839806.50,3115569.25,3498363.25
,40,40,19,150.969742,6.264,0.850715,[M-H]-,,3-Sulfinylpyruvate (1),C05527,C3H4O5S,-1.000,6.165344,150.969742,308005.84,35808.06,80188.30,26923.80,26377.18,23599.20,28213.67,957161.81,275581.34,152410.02,170931.22,297877.50,448637.56,250882.31,256451.08,229741.95,161413.06,301853.62,256534.59,244722.95,259814.05,171855.39,270542.81,182565.69,111919.02,273182.88,213084.62
g,41,41,13,150.041290,4.561,0.771314,[M-H]-,,Guanine (1),C00242,C5H5N5O,0.461,5.593318,150.041290,3001.27,246428.31,768985.75,720656.62,729953.25,813042.75,595310.38,802514.00,1009980.38,7704013.00,1818723.12,1467954.25,1164827.88,1581008.00,1236169.50,2231809.00,1733399.75,2106784.50,1846570.75,1901834.50,1512796.12,1859312.12,1623278.25,1504879.75,2107849.25,1848699.25,1601799.38
g,42,42,1,148.042999,6.368,0.673258,[M-H]-,,L-Methionine (1),C00073,C5H11NO2S,1.468,5.256541,148.042999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9684.99,17952.66,0.00,25459.57,63416.55,23306.86,39593.02,0.00,13114.07,66696.88,81568.45,1519471.62,28273.63,67728.44,47645.22,95101.44,29671.76,80383.75,83771.19
,43,43,11,147.065506,5.593,0.851687,[M-H]-,,Mevalonic acid (1),C00418,C6H12O4,2.393,5.291480,147.065506,797812.25,32350.23,23782.93,32257.80,54438.30,33074.95,31525.46,50002.75,14445.22,1167549.25,2075355.50,616746.94,0.00,521265.62,3138833.25,1190501.12,398882.56,23702.87,14629.07,355761.09,84199.30,1205374.25,0.00,6207.46,7435.31,1323621.88,14142.34
,44,44,6,147.065384,6.090,0.836692,[M-H]-,,Mevalonic acid (1),C00418,C6H12O4,2.890,6.121516,147.065384,165121.39,277215.84,34633.30,63606.83,27491.96,38901.56,27568.75,14007.64,23438.97,184445.72,246887.05,29375.72,0.00,65271.91,353631.00,196996.11,65453.12,12638.83,0.00,36590.79,16956.35,42858.63,0.00,0.00,48589.35,90479.20,21490.48
,45,45,23,147.029053,6.316,0.819827,[M-H]-,,2-Hydroxyglutaric acid (1),C01087,C5H8O5,1.016,5.707910,147.029053,4512790.00,3168643.25,1204448.88,935564.75,834941.19,864014.44,928513.50,17863706.00,11566414.00,5051703.00,6906376.50,11241641.00,15799576.00,10366400.00,9919313.00,7144101.50,9246811.00,16990776.00,14117364.00,11999263.00,11735478.00,10271702.00,15610135.00,14001076.00,7773679.00,11431121.00,10549904.00
,46,46,6,147.029068,6.676,0.712123,[M-H]-,,2-Hydroxyglutaric acid (1),C01087,C5H8O5,1.376,5.604130,147.029068,2076908.25,1223355.12,528734.94,301447.06,308102.88,1003134.69,985378.50,8192459.50,13903922.00,6701543.00,9575737.00,7883064.00,6673572.50,7820555.00,8013285.50,7053227.50,6284066.00,7488598.50,11791341.00,11906618.00,8849921.00,11959559.00,8279856.50,8696764.00,7434557.50,6004976.00,6259200.50
